ID,Date_Shift,Pipe Size_Calculated,Date_Shift_Supervisor,Date_Shift_Supervisor_Helper,Production Supervisor,Input Date,Input Shift,Trolley no,Loading Time,Lava Temp,Homo Temp,TK Temp,Furnace Num,Temp Eject,Air time,Pipe Size,Size_actual,WT,Prod Rej,Prod Qty,Prod wt,Hour Cycle,Date for Output,Shift,QC Supervisor,QC Time,Accepted Pipes,Rejected Pipes,Check,Cavity,Cracks,R cracks,Ovality,Others,Accepted Wt,Rejected Wt,% R,Status
d4788fb1,46108_l,489x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,21,18:50:00,,1210,815,F2,,34,asd636462,489,48,,3,144,-0.2647685185,27-03-2026,,,12:28:44,3,0,Ok,,,,,,144,0,0.00%,Inside Tunnel
60f1c0be,46108_l,436x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,21,06:50:00,,1210,815,F2,,32,asd221530,436,43,,6,258,0.2365393519,27-03-2026,,,12:30:37,6,0,Ok,,,,,,258,0,0.00%,Inside Tunnel
5b80bf09,46108_l,336x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,21,06:50:00,,1210,815,F2,,32,asd961942,336,34,,1,34,0.2386226852,27-03-2026,,,12:33:37,1,0,Ok,,,,,,34,0,0.00%,Inside Tunnel
77285a73,46108_l,253x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,21,06:50:00,,1210,815,F2,,32,asd666794,253,26,,3,78,0.2390509259,27-03-2026,,,12:34:14,3,0,Ok,,,,,,78,0,0.00%,Inside Tunnel
f0774003,46108_l,250x350x50,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,21,06:50:00,,1210,815,F2,,32,asd685787,250,15,,2,30,0.239375,27-03-2026,,,12:34:42,2,0,Ok,,,,,,30,0,0.00%,Inside Tunnel
74503094,46108_l,386x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,21,06:50:00,,,,F2,,,asd143430,386,38,,2,76,0.2426157407,27-03-2026,,,12:39:22,2,0,Ok,,,,,,76,0,0.00%,Inside Tunnel
0936c4a7,46108_l,489x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,22,19:45:00,1069,1210,815,F2,785,34,asd636462,489,48,,3,144,-0.2947685185,27-03-2026,,,12:40:32,3,0,Ok,,,,,,144,0,0.00%,Inside Tunnel
c6f9ce74,46108_l,436x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,22,19:45:00,,1210,815,F2,,32,asd221530,436,43,,3,129,-0.2928819444,27-03-2026,,,12:43:15,3,0,Ok,,,,,,129,0,0.00%,Inside Tunnel
a8cd1880,46108_l,386x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,22,19:45:00,,1210,815,F2,,32,asd143430,386,38,,2,76,-0.2924652778,27-03-2026,,,12:43:51,2,0,Ok,,,,,,76,0,0.00%,Inside Tunnel
a2decc6d,46108_l,336x500x20,135c2adb,27-03-2026_l_Khalate H.S.,Khalate H.S.,27-03-2026,l,22,19:45:00,,1210,815,F2,,32,asd961942,336,34,,2,68,-0.2922106481,27-03-2026,,,12:44:13,2,0,Ok,,,,,,68,0,0.00%,Inside Tunnel
